ShipmentCount,MonthNumber
25,1
28,1
34,1
42,1
44,1
57,1
68,1
71,1
73,1
83,1
109,1
193,1
7,2
7,2
7,2
7,2
8,2
9,2
9,2
12,2
14,2
15,2
21,2
36,2
49,2
132,2
7,1
7,1
7,1
7,1
8,1
8,1
9,1
10,1
11,1
11,1
11,1
12,1
12,1
12,1
13,1
13,1
14,1
14,1
15,1
23,1
26,1
75,1
87,1
193,1
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
14,12
14,12
14,12
14,12
14,12
14,12
14,12
14,12
